title,type,episodes,status,picture,duration,score,synonyms,tags,year
"""Bungaku Shoujo"" Movie",MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/8/81162.jpg,6000,7.393667439569987,"['A Garota dos Livros', 'A Literary Girl', 'Book Girl', 'Book Girl, La Chica que Devoraba Libros', 'Book Girl: La chica de los libros', 'Bungaku Shoujo', 'Bungaku Shoujo - O Filme', 'Bungaku Shōjo', 'Garota dos Livros: O Filme', 'Gekijouban Bungaku Shoujo', 'Gekijōban Bungaku Shōjo', 'La Chica de los Libros', 'Literature Girl', 'Буквоежка', 'げきじょうばんぶんがくしょうじょ', '劇場版 文学少女', '劇場版""文学少女""', '劇場版“文学少女”', '文学少女', '文学少女 剧场版']","['asia', 'based on a light novel', 'boy meets girl', 'childhood promise', 'classic literature', 'comedy', 'coming of age', 'death', 'dialogue driven', 'drama', 'earth', 'family life', 'following one`s dream', 'indecisive', 'intact family', 'japan', 'japanese production', 'literature', 'love polygon', 'love triangle', 'male protagonist', 'mystery', 'novel', 'parental abandonment', 'place', 'present', 'promise', 'psychological', 'psychological drama', 'real-world location', 'romance', 'school', 'school club', 'school clubs', 'school life', 'storytelling', 'sudden girlfriend appearance', 'suicide', 'supernatural drama', 'the arts', 'the power of love', 'time', 'time skip', 'tragedy', 'yandere']",2010
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/1893/119194.jpg,7080,7.279144094001236,"['""Space Battleship Yamato"" Era: The Choice in 2202', '""Uchū Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku', 'Star Blazers Chronicle 2202', 'Star Blazers: Space Battleship Yamato 2202', 'Star Blazers: Space Battleship Yamato 2202 Movie', 'The ""Space Battleship Yamato"" Era: The Choice in 2202', 'Uchuu Senkan Yamato 2202: Ai no Senshi-tachi Soushuuhen', 'Uchuu Senkan Yamato 2202: Ai no Senshi-tachi Summary', '「宇宙戦艦ヤマト」という時代 西暦2202年の選択', '『宇宙戦艦ヤマト』という時代 西暦2202年の選択', '宇宙戦艦ヤマト2202愛の戦士たち 総集篇']","['action', 'adult cast', 'adventure', 'compilation', 'drama', 'japanese production', 'leijiverse', 'military', 'outer space', 'primarily adult cast', 'recap', 'sci fi', 'sci-fi', 'science fiction', 'space', 'space battles', 'space opera']",2021
.hack//G.U. Trilogy,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/4/23083.jpg,5580,7.089424860853433,"['.hack // G.U. Trilogy', '.hack//G.U. TRILOGY', '.hack//G.U. Трилогія', 'Dot hack//G.U. Trilogy', 'dot hack gu trilogy', 'gu trilogy', 'hack: gu trilogy', 'どっとはっくじーゆーとりろじー']","['action', 'action drama', 'adventure', 'alternative world', 'cg animation', 'cg-anime', 'cgi', 'cyberpunk', 'drama', 'fantasy', 'fictional location', 'full cgi', 'game', 'game elements', 'gaming – video games', 'japanese production', 'magic', 'mmorpg', 'new', 'place', 'rpg', 'sci-fi', 'science fiction', 'science-fiction', 'speculative fiction', 'super power', 'video game', 'video games', 'virtual reality', 'virtual world']",2007
.hack//Roots,TV,26,FINISHED,https://cdn.myanimelist.net/images/anime/3/13050.jpg,1440,6.926738189346885,"['.hack// Початок', '.hack//roots', 'dot Hack Roots', 'hack roots', 'hack//Roots', 'hack: roots', 'roots', 'نقطة اختراق//جذور', 'どっとはっくるーつ']","['3d cg animation', 'action', 'adventure', 'alternative world', 'angst', 'anti-hero', 'bionic powers', 'cgi', 'detailed landscapes', 'dialogue driven', 'drama', 'dungeon', 'ending', 'ensemble cast', 'european stylised', 'fantasy', 'fantasy world', 'fictional location', 'friendship', 'future', 'game', 'game elements', 'isekai', 'japanese production', 'kemonomimi', 'magic', 'magic circles', 'male protagonist', 'mmorpg', 'mystery', 'nekomimi', 'new', 'open-ended', 'place', 'plot continuity', 'psi-powers', 'recycled animation -- to be split and deleted', 'revenge', 'romance', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'slow-paced', 'speculative fiction', 'storytelling', 'super power', 'swordplay', 'teamwork', 'teleportation', 'time', 'tragedy', 'unrequited love', 'video game', 'video games', 'violence', 'virtual reality', 'virtual world']",2006
.hack//Sign,TV,26,FINISHED,https://cdn.myanimelist.net/images/anime/1443/94665.jpg,1440,6.896911101440202,"['.hack//SIGN', '.hack//时空', 'dot hack', 'dot hack sign', 'hack', 'hack sign', 'hack//SIGN', 'hackSIGN', 'sign', 'Хак', 'Хак//Симбол', 'どっとはっくさいん', '駭客時空']","['action', 'adventure', 'alternative present', 'alternative world', 'amnesia', 'angst', 'anti-hero', 'asia', 'cgi', 'child abuse', 'comedy', 'cross-dressing', 'dark-skinned girl', 'denpa', 'desert', 'detailed landscapes', 'dialogue driven', 'dissociative identities', 'domestic abuse', 'drama', 'dungeon', 'dysfunctional family', 'earth', 'emotional abuse', 'ending', 'ensemble cast', 'existentialism', 'family life', 'fantasy', 'fantasy world', 'female protagonist', 'fictional location', 'friendship', 'game', 'game elements', 'gaming – video games', 'gender bending', 'hacking', 'heroic sacrifice', 'immature', 'isekai', 'japan', 'japanese production', 'jealousy', 'law and order', 'lgbtq+ themes', 'love polygon', 'magic', 'magic circles', 'manipulated memories', 'mmorpg', 'mystery', 'new', 'open-ended', 'parody', 'person in a strange world', 'physical abuse', 'place', 'plot continuity', 'present', 'psychological drama', 'reverse trap', 'romance', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'shoujo ai', 'slow-paced', 'social commentary', 'speculative fiction', 'spellcasting', 'storytelling', 'super power', 'supernatural drama', 'swordplay', 'swords & co', 'tanned skin', 'teamwork', 'time', 'time skip', 'tragedy', 'trapped in a video game', 'tropes', 'tsundere', 'unrequited love', 'video game', 'video games', 'violence', 'virtual reality', 'virtual world']",2002
.hack//Tasogare no Udewa Densetsu,TV,12,FINISHED,https://cdn.myanimelist.net/images/anime/4/78321.jpg,1380,6.67740836940837,"['.hack//A Lenda do Bracelete do Crepúsculo', '.hack//Bransoleta Zmierzchu', '.hack//DUSK', '.hack//Legend Of The Twilight', '.hack//Legend of The Twilight', '.hack//Legend of Twilight’s Bracelet', '.hack//Legend of the Twilight', '.hack//Legend of the Twilight Bracelet', '.hack//Udeden', '.hack//黄昏の腕輪伝説', '.хак//Легенда Сумеречного Браслета', '.хак//Легенда о сумеречном браслете', 'Hack Udeden', 'UdeDen', 'dot hack dusk', 'hack lotb', 'hack tud', 'hack: dusk', 'hackDUSK', 'どっとはっくたそがれのうでわでんせつ']","['action', 'adventure', 'alternative world', 'animal sidekick', 'beach visit', 'boobs in your face', 'call my name', 'calling your attacks', 'catchphrase', 'comedy', 'damsel in distress', 'dungeon', 'ecchi', 'fantasy', 'fictional location', 'flashback', 'gainax bounce', 'game', 'game elements', 'gaming – video games', 'hanami', 'heterochromatic eyes', 'hot springs visit', 'in medias res', 'japanese production', 'kemonomimi', 'magic', 'manga', 'mmorpg', 'new', 'place', 'present', 'preview before ed', 'protection complex', 'regeneration from death -- to be split and removed', 'school swimsuit', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'shounen', 'siblings', 'skimpy clothing', 'slapstick', 'speculative fiction', 'swimsuit', 'swords & co', 'tanabata', 'tanned', 'teleportation', 'tropes', 'video game', 'video games', 'virtual reality', 'virtual world', 'watercolour style']",2003
.hack//The Movie: Sekai no Mukou ni,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/2/35633.jpg,6660,7.057934636791781,"['.hack // The Movie', '.hack//Beyond the World', '.hack//Sekai no Mukou ni', '.hack//Sekai no Mukō ni', '.hack//The Movie', '.hack//The Movie セカイの向こうに', '.hack//Versus: The Thanatos Report', '.hack//世界的彼方', '.злам// Поза «World`-ом»', 'hack: the movie', 'Злам - Поза Світом', 'ドット ハック', 'ドット ハック セカイの向こうに', 'ドットハック セカイの向こうに']","['3d cg animation', 'action', 'adventure', 'angst', 'asia', 'cg animation', 'cg-anime', 'cgi', 'coming of age', 'confession', 'disaster', 'earth', 'fantasy', 'fictional location', 'full cgi', 'future', 'game', 'heroine of weak character', 'japan', 'japanese production', 'love polygon', 'love triangle', 'magic', 'middle school', 'mmorpg', 'mystery', 'place', 'playing video games', 'present', 'romance', 'rpg', 'school', 'school life', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'slow when it comes to love', 'speculative fiction', 'stereoscopic imaging', 'stereotypes', 'stoic hero', 'time', 'video game', 'video games', 'virtual reality', 'virtual world', 'whale']",2012
009 Re:Cyborg,MOVIE,1,FINISHED,https://cdn.myanimelist.net/images/anime/9/40189.jpg,6180,6.521783595593119,"['009 RE:CYBORG', 'Cyborg 009: 009 Re:Cyborg', 'ぜろぜろないん り・さいぼーぐ']","['3d cg animation', 'action', 'adventure', 'air combat', 'americas', 'amnesia', 'angel', 'asia', 'based on a manga', 'breathing in space', 'bullet time', 'cel-shaded animation', 'cg animation', 'cg-anime', 'cgi', 'china', 'collateral damage', 'conspiracy', 'crime', 'cyberpunk', 'cyborg', 'cyborgs', 'death', 'disaster', 'earth', 'ecchi', 'end of the world', 'ending', 'fantasy', 'female protagonist', 'gunfights', 'heroic sacrifice', 'human enhancement', 'istanbul', 'japan', 'japanese production', 'lingerie', 'male protagonist', 'manga', 'massacre', 'mecha', 'middle east', 'military', 'murder', 'new york', 'nuclear weapons', 'open-ended', 'place', 'politics', 'predominantly adult cast', 'predominantly male cast', 'present', 'religion', 'robots', 'robots & android', 'romance', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'secret organisation', 'shanghai', 'shounen', 'space', 'speculative fiction', 'stereoscopic imaging', 'strong male lead', 'suicide', 'super power', 'superheroes', 'terrorism', 'time', 'tokyo', 'tragedy', 'tropes', 'turkey', 'united states', 'violence', 'war']",2012
009-1,TV,12,FINISHED,https://cdn.myanimelist.net/images/anime/11/19998.jpg,1440,6.213379921665636,"['0091', 'Cyborg 009: 009-1', 'Zero Zero Nine One', 'ぜろぜろないんわん', 'ゼロゼロナインワン', '霹雳娇娃009-1']","['action', 'adapted into japanese movie', 'adapted into other media', 'adults are useless', 'americas', 'android', 'angst', 'assassins', 'based on a manga', 'carefree', 'collateral damage', 'comedy', 'conspiracy', 'cyberpunk', 'cyborg', 'cyborgs', 'drama', 'earth', 'ecchi', 'episodic', 'eroticism', 'espionage', 'europe', 'female protagonist', 'flashback', 'future', 'gainax bounce', 'gore', 'gunfights', 'guns', 'human enhancement', 'italy', 'japanese production', 'large breasts', 'lingerie', 'manga', 'martial arts', 'mecha', 'military', 'military is useless', 'moon', 'music', 'nudity', 'other planet', 'pantsu', 'parody', 'performance', 'place', 'politics', 'predominantly adult cast', 'primarily adult cast', 'robot', 'robots', 'robots & android', 'romance', 'rome', 'ruthless', 'sci fi', 'sci-fi', 'science fiction', 'science-fiction', 'seinen', 'sex', 'sexual content', 'skimpy clothing', 'space', 'speculative fiction', 'stereotypes', 'strong female lead', 'the arts', 'thriller', 'time', 'tragedy', 'trains', 'tropes', 'united states', 'violence', 'war']",2006
07-Ghost,TV,25,FINISHED,https://cdn.myanimelist.net/images/anime/3/22605.jpg,1380,7.068716082933386,"['07 Ghost', '07 vaiduokliai', '07-GHOST', '07-Hayalet', '07-روح', '07ghost', '7 Ghosts', 'Septyni vaiduokliai', 'Seven Ghost', 'Seven Ghosts', 'Seventh Ghost', 'The Seven Ghost', 'The Seven Ghosts', 'Zero Seven Ghost', 'Седемте призрака', 'Седьмой Дух', 'Семь Душ', 'せぶんごーすと', 'セブンゴースト', '七鬼神']","['action', 'action drama', 'alternative world', 'amnesia', 'angst', 'based on a manga', 'bionic powers', 'bishoujo', 'bishounen', 'brainwashing', 'call my name', 'chain', 'comedy', 'demon', 'demons', 'doll', 'drama', 'drastic change of life', 'european stylised', 'evil military', 'exorcism', 'facial distortion', 'fantasy', 'fantasy world', 'fictional location', 'fighting', 'friendship', 'ghost', 'history is written by the victors', 'japanese production', 'josei', 'magic', 'magic circles', 'manga', 'mecha', 'memory manipulation', 'mermaid', 'military', 'mythology', 'nun', 'place', 'plot continuity', 'predominantly male cast', 'primarily male cast', 'psi-powers', 'reincarnation', 'religion', 'revenge', 'robot', 'robot helper', 'romance', 'sci-fi', 'shounen ai', 'speculative fiction', 'super power', 'supernatural', 'tragedy', 'tropes']",2009
